A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,latitude,longitude,Created Date Filter,Resolution Time
A6-BMA,MAN,2023-12-11 06:52:02.369,A6-BMA001739-001,Galley G4A-1C,"MAJOR WATER LEAK UPON LANDING, A LOT OF WATER GUSHED TOWARDS THE CARPET.",REAR GALLEY ICE CLEANED AND WATER DRAINED,80188556,Behind carts,Ice on chiller flaps,2023-12-11 07:31:20.905,53.365,-2.2722,2023-12-11,0.66
A6-BLT,AUH,2023-12-09 02:10:57.654,A6-BLT001605-003,Galley G4A-1L,WATER LEAKAGE FROM THE ICE DRAWER,CLEANED AND UNBLOCK C/OUT IAW AMM DMC-B787-A-38-31-25-00A-258A-A REV 017/31 OCT 2022 OPS CHECK FOUND SATIS.,80187517,Ice Drawer,Ice Drawer drain clogged,2023-12-09 05:16:47.060,24.426389,54.651389,2023-12-09,3.1
A6-BMB,AMS,2023-11-30 02:10:58.000,,Galley G1F-1C,WATER LEAKAGE FROM BEHIND 2 CARTS STOWAGE NUMBER 1F1C13 AND 1F1C14 DURING TAXI AND BEFORE DEPARTURE IT STOPPED AFTER TAKE OFF.,NOTED. KLM 38964,23284961,Behind carts,Nil Leak,2023-12-10 05:16:47.060,52.308613,4.763889,2023-11-30,243.1
A6-BNB,AUH,2023-11-20 02:10:58.000,,Galley G4A-1C,R4 GALLETY ICE BOX WATER LEAKAGE INTO THE CABIN,ICE BOX DRAWER DRAIN CLEANED IAW AMM 38-31-28-00A-258A REV. 142 / 31OCT23. SATIS.,23043293,Ice Drawer,Ice Drawer cleaned,2023-12-11 05:16:47.060,24.426389,54.651389,2023-11-20,507.1
A6-BLK,AUH,2023-11-07 02:10:58.000,,Galley G4A-1C,WATER LEAK IN R4 GALLEY DURING TOP OF DESCENT FROM CHILLERS BEHIND CARTS.,"R4 GALLEY INSP. C/OUT FOUND CONDENSATION, NIL FAULTS OPS TEST C/O IAW 38-31-00-00A-364A-A REV 059 / 31 OCT 2022. TEST OK.",23175382,Behind carts,Condensation,2023-12-12 05:16:47.060,24.426389,54.651389,2023-11-07,843.1
A6-BLY,AUH,2023-07-30 02:10:58.000,,Galley G1A-1C,WATER LEAKAGE BEHIND CART STOWAGE 1A1C09F/1A1C09R,"GENERAL VISUAL INSPECTION OF FWD GALLEY C/OUT IAW AMM 25-31-00-02A-311A-A REV 042, 31 OCT 22 NIL LEAKS FOUND SUSPECTED CONDENSATION . NIL FURTHER MAINT ACTION REQ.",23003053,Behind carts,Condensation,2023-12-14 05:16:47.060,24.426389,54.651389,2023-07-30,3291.1
A6-BLH,AUH,2023-07-29 02:10:58.000,,Galley G4A-1C,"R4 GALLEY FLOOR HAD WATER LEAKING FROM BEHIND THE CARTS DURING LANDING, EXACT LOCATION AND SOURCE OF LEAK UNDETERMINED.",C/O R4 GALLEY AREA INSP IAW AMM 25-31-00-02A-311A-A REV 42 / OCT 2022. FOUND NIL LEAK SUSPECT CONDENSATION (WATER) FROM FOOD CARTS.,23283310,Behind carts,Condensation,2023-12-15 05:16:47.060,24.426389,54.651389,2023-07-29,3339.1
A6-BLQ,AUH,2023-07-21 02:10:58.000,,Galley G2A-1C,UNIDENTIFIED WATER LEAKAGE IN R2 GALLEY DURING LANDING,ALL GALLEY CARTS REMOVED FOUND NIL EVIDENCE OF ANY WATER LEAK,22987733,Behind carts,Nil Leak,2023-12-16 05:16:47.060,24.426389,54.651389,2023-07-21,3555.1
A6-BLH,AUH,2023-07-15 02:10:58.000,,Galley G2A-1C,R2 WATER LEAKAGE FROM UNDER THE ICE DRAWER,"C/O R2 GALLEY ICE DRAWER CLEANING IAW AMM 38-31-25-00A-258A-A REV 17/ OCT 2022, LEAK CHECK FOUND SATIS",23118350,Ice Drawer,Ice Drawer cleaned,2023-12-17 05:16:47.060,24.426389,54.651389,2023-07-15,3723.1
A6-BNB,SVO,2023-06-28 02:10:58.000,,Galley G1A-1C,R1 GALLEY - WATER LEAKAGE ON THE FLOOR FROM UNDER THE CARTS,GALLEY FOUND WITH WATER DUE CONDENSATION AREA CLEANED. NIL LEAKS FOUND,23176977,Behind carts,Condensation,2023-12-18 05:16:47.060,55.9726,37.4146,2023-06-28,4155.1
