A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLN,BCN,2024-05-21 05:17:47.936,A6-BLN001947-002,Galley G1A-1C,R1 GALLEY WATER LEAKING FROM BEHIND THE TRASH COMPACTOR,"INSPECTION OF R1 GALLEY GWIV CARRIED OUT IAW AMM DMC-B787-A-38-31-21-04A-280A-A REV148 30APR2024 FOUND OVERFLOW HOSE LOOSE SAME TIGHTEN, OPS CHECK CARRIED OUT NO WATER LEAK OBSERVED. DDL CLOSED. ",80471789.0,Behind carts,Overflow hose loose,Closed,,41.2969439,2.0790474
A6-BMC,AUH,2024-05-20 15:47:01.632,A6-BMC001967-007,Galley G4A-1L,WATER LEAKAGE INFLIGHT.,"INSPECTED AFT GALLEY FOR WATER LEAKS ,NIL LEAKS OBSERVED,IAW AMM DMC B787-A-25-31-00-02A-311A-A,REV 146/01MAR24.",80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLR,LIS,2024-05-19 07:19:04.986,A6-BLR001957-002,Galley G1A-1C,1A1C07 GALLEY DRAWER IS LEAKING WATER.,"1A1C07 COMPARTMENT CHECKED FOR LEACKS, NIL FINDINGS, SATIS",80471789.0,Behind carts,Nil Leak,Closed,,38.7809542,-9.1319006
A6-BMI,AUH,2024-05-11 07:58:45.815,A6-BMI002086-003,Galley G4A-1R,WATER LEAKING. WATER SHUT OFF VALVE TURNED AS A LOT WATER.,ICE FORMED AT GALLEY COOLING AIR  OUTLETS . ICE REMOVED. AREA CLEANED. WATER SHUT OFF VALVE NORMALISED. NIL WATER LEAKAGE. ,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BMB,AUH,2024-04-28 20:18:53.880,A6-BMB002030-004,Galley G1F-1C,WATER LEAKAGE WAS OBSERVED COMING OUT FROM THE CARTS STOWAGE DURING TO AND LANDING,"FOUND ICE AND WATER CONDENSATION ON GALLEY TO CARTS AIR COOLING DUCTS, SAME REMOVE AND CLEANED, FOUND SATIS WITH NIL LEAKS",80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLF,AUH,2024-04-24 02:36:50.728,A6-BLF001887-003,Galley G2F-1C,2F1C12 CART CHILLER VALVE IS MISSING AND WATER IS FLOWING DURING DESCENT ,2F1C12 CART REPLACED BY CATERING STAFF. AND WATER CLEANED. ,80471789.0,Behind carts,Ice on chiller flaps,Closed,,24.4409181,54.6377049
A6-BLF,BCN,2024-04-10 17:45:00.999,A6-BLF001855-003,Galley G4A-1R,"WATER FLOWS FROM BEHIND THE CART IN R4 GALLEY DURING DECENT , STOPS AFTER LANDING. ","FOUND ALL GALLEY EXTRACT AIR PORTS RED RUBBER FULL OF WATER DUE TO CONDENSATION, WATER REMOVED FROM ALL EXTRACT PORTS. ON FUTHER LEAK OBSERVED",80471789.0,Behind carts,Condensation,Closed,,41.2969439,2.0790474
A6-BLP,AUH,2024-04-06 01:18:07.294,A6-BLP001787-002,Galley G4A-1C,WATER IS FLOWING ON THE FLOOR DURING DESCENDING.,INSPECTION PERFORMED ON THE GALLEY CHILLERS VENTS AND AREAS  NIL WATER LEAK WATER LEAK OBSERVED.,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLP,AUH,2024-04-06 01:15:50.047,A6-BLP001787-001,Galley G1A-1C,WATER FLOWING ON THE FLOOR WHILE DESCENDING.,INSPECTION PERFORMED ON THE GALLEY CHILLERS VENTS AND AREAS  NIL WATER LEAK OBSERVED.,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLO,MEL,2024-03-29 18:36:07.889,A6-BLO001817-002,Galley G2A-1C,"WATER LEAKAGE WAS OBSERVED INFLIGHT, WATER WENT TO THE CABIN.
SWITCHED OFF WATER SHUT OFF VALVE. IT STOPPED.",WATER REACTIVATED. UNABLE TO FAULT. SUSPECT WATER FROM BOTTLE IN WASTE CONTAINER. PLS REPORT IF ANY FURTHER.,80471789.0,Behind carts,Nil Leak,Closed,,-37.6667554,144.8288501
A6-BMB,HKT,2024-03-24 10:53:23.787,A6-BMB001952-001,Galley G1A-1C,R1 GALLEY LEAKING WATER FROM  BEHIND CARTS 1A1C10/09,WATER MAY BE LEAK FROM THE CARTS AND REMOVED CARTS TO INSP NO SIGN OF WATER LEAKAGE. FLOOR CLEANED AND CHG NEW CARTS FROM CATERING. PLS MONITOR .,80471789.0,Behind carts,Nil Leak,Closed,,8.1101319,98.3058153
A6-BMA,AUH,2024-03-23 18:08:27.598,A6-BMA001967-003,Galley G2A-1C,WATER LEAK OBSERVED FROM THE AFT PART OF THE TROLLEY BAY DURING DESCENT. ,WATER LEAK CHK C/O NIL LEAK FOUND AT AFT GALLEY IAW AMM B787-A-25-32-00-00A-320A-A REV 146/01MAR24,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLU,AUH,2024-03-22 06:08:15.418,A6-BLU001910-003,Galley G1F-1C,WATER LEAKING  ON THE GALLEY TOP ,PERFORMED GRAY WATER DRAIN SYSTEM GWIV BLOCKAGE CLEANING IAW DMC-B787-A-38-31-00-01A-288A-A REV 111/ 29  FEBRUARY 2824 AND FOUND SATISFACTOTY.,80471789.0,Ice Drawer,Nil Leak,Closed,,24.4409181,54.6377049
